paper_spec,model,paper,workflow_state,current_outcome,strict_gate_passed,failure_type,api_clean_current,original_CG,original_REA,final_CG,final_REA,delta_CG,delta_REA,quality_tier,retained_correct_ratio,protocol,metric_fallback_applied
gemini_3_1_pro_preview:s41467-025-56912-9,gemini_3_1_pro_preview,s41467-025-56912-9,locked_standard_flow,typed_residual,false,final_metric_gate_failed,true,0.6,0.6,0.9,1.0,0.30000000000000004,0.4,A_main,0.6,vote_reuse_repair_root,false
gemini_3_1_pro_preview:s41467-025-56921-8,gemini_3_1_pro_preview,s41467-025-56921-8,locked_standard_flow,typed_residual,false,final_metric_gate_failed,true,0.6428571428571429,0.4444444444444444,0.7142857142857143,1.0,0.0714285714285714,0.5555555555555556,repair,0.2222222222222222,vote_reuse_repair_root,false
gpt_5_2:s41467-025-56921-8,gpt_5_2,s41467-025-56921-8,locked_standard_flow,typed_residual,false,final_metric_gate_failed,true,0.7272727272727273,0.4666666666666667,0.7272727272727273,1.0,0.0,0.5333333333333333,repair,0.4666666666666667,vote_reuse_repair_root,false
gpt_5_2:s41467-025-56992-7,gpt_5_2,s41467-025-56992-7,locked_standard_flow,typed_residual,false,final_metric_gate_failed,true,0.6363636363636364,0.45454545454545453,0.7272727272727273,1.0,0.09090909090909094,0.5454545454545454,repair,0.36363636363636365,vote_reuse_repair_root,false
grok_4_1_thinking:s41467-025-56283-1,grok_4_1_thinking,s41467-025-56283-1,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
grok_4_1_thinking:s41467-025-56611-5,grok_4_1_thinking,s41467-025-56611-5,locked_standard_flow,typed_residual,false,final_metric_gate_failed,true,0.7857142857142857,0.38095238095238093,0.7857142857142857,1.0,0.0,0.6190476190476191,repair,0.38095238095238093,vote_reuse_repair_root,false
grok_4_1_thinking:s41467-025-56616-0,grok_4_1_thinking,s41467-025-56616-0,locked_standard_flow,typed_residual,false,final_metric_gate_failed,true,0.7272727272727273,0.23076923076923078,0.9090909090909091,1.0,0.18181818181818177,0.7692307692307692,B_usable,0.23076923076923078,vote_reuse_repair_root,false
grok_4_1_thinking:s41467-025-56786-x,grok_4_1_thinking,s41467-025-56786-x,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
grok_4_1_thinking:s41467-025-56797-8,grok_4_1_thinking,s41467-025-56797-8,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
grok_4_1_thinking:s41467-025-56814-w,grok_4_1_thinking,s41467-025-56814-w,locked_standard_flow,typed_residual,false,metric_regression,true,0.5833333333333334,0.18181818181818182,0.0,1.0,-0.5833333333333334,0.8181818181818181,repair,0.13636363636363635,vote_reuse_repair_root,false
grok_4_1_thinking:s41467-025-56819-5,grok_4_1_thinking,s41467-025-56819-5,locked_standard_flow,typed_residual,false,final_judge_failed,true,0.8181818181818182,0.05,0.8181818181818182,0.05,0.0,0.0,,,vote_reuse_repair_root,true
grok_4_1_thinking:s41467-025-56853-3,grok_4_1_thinking,s41467-025-56853-3,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
grok_4_1_thinking:s41467-025-56873-z,grok_4_1_thinking,s41467-025-56873-z,locked_standard_flow,typed_residual,false,final_metric_gate_failed,true,0.0,0.1,0.7,1.0,0.7,0.9,repair,0.1,vote_reuse_repair_root,false
grok_4_1_thinking:s41467-025-56882-y,grok_4_1_thinking,s41467-025-56882-y,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
grok_4_1_thinking:s41467-025-56887-7,grok_4_1_thinking,s41467-025-56887-7,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
qwen3_5_397b_a17b:s41467-025-56106-3,qwen3_5_397b_a17b,s41467-025-56106-3,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
qwen3_5_397b_a17b:s41467-025-56283-1,qwen3_5_397b_a17b,s41467-025-56283-1,locked_standard_flow,typed_residual,false,final_judge_failed,true,0.8666666666666667,0.13333333333333333,0.8666666666666667,0.13333333333333333,0.0,0.0,,,vote_reuse_repair_root,true
qwen3_5_397b_a17b:s41467-025-56622-2,qwen3_5_397b_a17b,s41467-025-56622-2,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
qwen3_5_397b_a17b:s41467-025-56635-x,qwen3_5_397b_a17b,s41467-025-56635-x,locked_standard_flow,typed_residual,false,metric_regression,true,0.8888888888888888,0.15,0.5555555555555556,1.0,-0.33333333333333326,0.85,repair,0.15,vote_reuse_repair_root,false
qwen3_5_397b_a17b:s41467-025-56769-y,qwen3_5_397b_a17b,s41467-025-56769-y,locked_standard_flow,typed_residual,false,final_metric_gate_failed,true,0.9,0.5384615384615384,0.9,1.0,0.0,0.46153846153846156,A_main,0.5384615384615384,vote_reuse_repair_root,false
qwen3_5_397b_a17b:s41467-025-56795-w,qwen3_5_397b_a17b,s41467-025-56795-w,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
qwen3_5_397b_a17b:s41467-025-56814-w,qwen3_5_397b_a17b,s41467-025-56814-w,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
qwen3_5_397b_a17b:s41467-025-56822-w,qwen3_5_397b_a17b,s41467-025-56822-w,locked_standard_flow,typed_residual,false,preflight:no_anchor_regenerate,true,0.0,0.0,0.0,0.0,0.0,0.0,,,vote_reuse_repair_root,true
qwen3_5_397b_a17b:s41467-025-56856-0,qwen3_5_397b_a17b,s41467-025-56856-0,locked_standard_flow,typed_residual,false,final_metric_gate_failed,true,0.8,0.3142857142857143,0.8,1.0,0.0,0.6857142857142857,B_usable,0.3142857142857143,vote_reuse_repair_root,false
qwen3_5_397b_a17b:s41467-025-56871-1,qwen3_5_397b_a17b,s41467-025-56871-1,locked_standard_flow,typed_residual,false,final_metric_gate_failed,true,0.8333333333333335,0.6956521739130435,0.8333333333333335,1.0,0.0,0.30434782608695654,B_usable,0.5,vote_reuse_repair_root,false
qwen3_5_397b_a17b:s41467-025-56921-8,qwen3_5_397b_a17b,s41467-025-56921-8,locked_standard_flow,typed_residual,false,final_metric_gate_failed,true,0.41666666666666674,0.23076923076923078,0.75,1.0,0.33333333333333326,0.7692307692307692,repair,0.07692307692307693,vote_reuse_repair_root,false
